dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
TEK17	re-pair	50	6	4	0.8621539032606281	327	18020	116	1.0	14.231	52	15080	116	1.0	3.0202	7
TEK17	sequitur	50	6	4	0.8621539032606281	315	18544	91	1.0	12.5292	52	15328	91	1.0	2.6724	9
TEK17	re-pair	50	6	8	0.7511756004959029	309	23900	116	0.8806	12.018	51	21130	116	0.8806	2.5212	4
TEK17	sequitur	50	6	8	0.7511756004959029	271	23838	91	0.8846	10.2476	50	21098	91	0.8846	2.4746	13
TEK17	re-pair	50	12	4	0.8244003860444311	189	50052	18	0.6014	6.3008	38	47148	7	0.6014	1.131	3
TEK17	sequitur	50	12	4	0.8244003860444311	148	49440	13	0.6004	4.6266	36	46684	13	0.6004	1.4872	13
TEK17	re-pair	50	12	8	0.7117056819568255	144	55836	9	0.553	3.6002	46	53812	4	0.553	1.033	3
TEK17	sequitur	50	12	8	0.7117056819568255	114	55420	7	0.5552	2.6946	46	53752	7	0.5552	1.0862	14
TEK17	re-pair	150	6	4	0.7591925426509537	208	10544	155	0.998	31.9156	11	8498	69	0.998	3.6636	2
TEK17	sequitur	150	6	4	0.7591925426509537	190	10840	98	1.0	26.494	23	8792	98	1.0	5.6732	7
TEK17	re-pair	150	6	8	0.6371646980298964	286	15010	155	0.998	37.0112	14	12182	27	0.998	2.4292	3
TEK17	sequitur	150	6	8	0.6371646980298964	222	15300	98	0.9992	27.9038	15	12650	23	0.9992	2.015	8
TEK17	re-pair	150	12	4	0.7182594064847397	199	33284	11	0.896	18.4716	15	29836	5	0.896	1.395	3
TEK17	sequitur	150	12	4	0.7182594064847397	145	32600	11	0.8976	11.9552	16	29296	11	0.8976	1.5536	7
TEK17	re-pair	150	12	8	0.5989443396302128	273	44964	11	0.8572	22.7626	17	40172	5	0.8572	1.5564	3
TEK17	sequitur	150	12	8	0.5989443396302128	177	45080	11	0.8572	13.5818	20	40376	5	0.8572	1.4884	10
TEK17	re-pair	250	6	4	0.6676641571437111	151	6652	13	0.992	24.66	9	5150	13	0.992	1.634	1
TEK17	sequitur	250	6	4	0.6676641571437111	108	6576	13	0.999	16.8548	7	5182	13	0.999	1.9414	3
TEK17	re-pair	250	6	8	0.5444686870941371	207	9302	12	0.9998	31.4664	9	7198	10	0.9998	1.8158	2
TEK17	sequitur	250	6	8	0.5444686870941371	150	9164	10	0.9982	21.2156	13	7224	6	0.9982	1.8492	3
TEK17	re-pair	250	12	4	0.6181554019189089	148	19740	10	0.9954	25.0294	10	17260	8	0.9954	2.0002	1
TEK17	sequitur	250	12	4	0.6181554019189089	94	19416	7	0.9954	13.3212	11	17084	6	0.9954	1.8968	4
TEK17	re-pair	250	12	8	0.49957591135739277	232	30424	6	0.9496	33.518	12	26416	5	0.9496	1.8374	2
TEK17	sequitur	250	12	8	0.49957591135739277	132	29972	6	0.9554	17.2098	13	26268	5	0.9554	1.729	5
