dataset	algorithm	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage	milliseconds
TEK14	re-pair	50	6	4	0.8576397137319128	331	18112	115	1.0	14.0568	46	15060	115	1.0	2.981	4
TEK14	sequitur	50	6	4	0.8576397137319128	321	18540	91	1.0	12.5292	53	15248	91	1.0	2.8642	9
TEK14	re-pair	50	6	8	0.7458647111528985	293	23464	115	0.8866	11.4926	45	20806	115	0.8866	2.5588	3
TEK14	sequitur	50	6	8	0.7458647111528985	266	23590	91	0.8888	9.9876	50	20918	91	0.8888	2.4856	13
TEK14	re-pair	50	12	4	0.8223622713259163	183	49408	18	0.592	6.005	38	46696	7	0.592	1.1018	3
TEK14	sequitur	50	12	4	0.8223622713259163	145	49200	11	0.5914	4.473	36	46536	11	0.5914	1.363	13
TEK14	re-pair	50	12	8	0.7104536054233701	135	55280	9	0.5314	3.3166	45	53384	4	0.5314	0.9994	3
TEK14	sequitur	50	12	8	0.7104536054233701	111	54892	7	0.5336	2.6286	45	53276	7	0.5336	1.0704	11
TEK14	re-pair	150	6	4	0.7558464137602153	237	11294	130	0.998	32.6	13	8972	58	0.998	3.2342	3
TEK14	sequitur	150	6	4	0.7558464137602153	205	11628	78	1.0	27.3926	16	9276	78	1.0	4.649	5
TEK14	re-pair	150	6	8	0.6306237910882099	303	15182	130	0.998	36.142	14	12156	58	0.998	3.2016	3
TEK14	sequitur	150	6	8	0.6306237910882099	228	15660	78	0.9992	27.4274	14	12812	19	0.9992	2.1324	5
TEK14	re-pair	150	12	4	0.7163691304330349	194	32668	11	0.9104	17.2146	17	29348	5	0.9104	1.6112	2
TEK14	sequitur	150	12	4	0.7163691304330349	137	32484	11	0.9104	11.4038	17	29248	11	0.9104	1.7928	6
TEK14	re-pair	150	12	8	0.5963902349751484	270	44024	11	0.8182	21.7434	17	39264	11	0.8182	1.5566	3
TEK14	sequitur	150	12	8	0.5963902349751484	172	43964	11	0.8532	13.2212	17	39316	4	0.8532	1.3336	7
TEK14	re-pair	250	6	4	0.654038896627906	134	6276	11	0.987	22.7	10	4968	11	0.987	1.935	1
TEK14	sequitur	250	6	4	0.654038896627906	115	6320	11	0.987	17.6574	8	4938	11	0.987	2.0194	2
TEK14	re-pair	250	6	8	0.5317170757099648	199	8796	11	0.9974	30.4962	11	6800	9	0.9974	1.9096	1
TEK14	sequitur	250	6	8	0.5317170757099648	148	8850	9	0.9982	20.654	10	6886	9	0.9982	2.027	3
TEK14	re-pair	250	12	4	0.6077894111079268	158	18956	9	0.9802	24.9822	10	16196	7	0.9802	1.8746	1
TEK14	sequitur	250	12	4	0.6077894111079268	99	19388	8	0.9828	14.4422	9	16816	8	0.9828	1.6738	3
TEK14	re-pair	250	12	8	0.4891808586839962	241	29276	6	0.9738	33.8652	12	25052	5	0.9738	1.84	2
TEK14	sequitur	250	12	8	0.4891808586839962	135	28832	6	0.9746	17.4006	14	25064	5	0.9746	1.816	4
