1 68628
2 43861
2 36779
2 38580
2 37696
2 36829
2 36109
2 35919
2 35762
2 35836
2 36071
3 36210
3 36146
3 36114
3 36428
3 36519
3 36399
3 36475
3 36221
3 37245
3 37736
4 36464
4 36006
4 36093
4 36333
4 36415
4 37582
4 37588
4 38597
4 37698
4 37207
5 37210
5 36190
5 36262
5 35848
5 36300
5 35906
5 36368
5 38230
5 36839
5 37154
6 37694
6 37097
6 36992
6 38740
6 37778
6 39721
6 37735
6 38876
6 36644
6 37206
7 36641
7 36634
7 37631
7 37783
7 37404
7 37426
7 37307
7 37260
7 37301
7 38245
8 36930
8 37058
8 37547
8 37011
8 37212
8 37013
8 37333
8 37648
8 39118
8 36727
9 38571
9 37643
9 37881
9 40167
9 36811
9 36917
9 36834
9 36275
9 36520
9 36239
10 38049
10 39478
10 38400
10 40461
10 39850
10 41414
10 38150
10 37749
10 37924
10 38086
11 38697
11 38640
11 39464
11 39644
11 39920
11 39165
11 40220
11 39320
11 39477
11 37756
12 37523
12 37174
12 37850
12 37079
12 37851
12 36620
12 36978
12 37850
12 38753
12 39206
13 38687
13 38003
13 38689
13 37746
13 39627
13 38812
13 37546
13 37470
13 38963
13 37652
14 38566
14 37145
14 39042
14 38265
14 38211
14 38503
14 37639
14 39530
14 38819
14 37500
15 37020
15 37200
15 37303
15 36803
15 36890
15 37086
15 37256
15 36757
15 36762
15 36822
