dataset	window	paa	alphabet	approximation	rules	gr_size	frequency	cover	coverage	pruned_rules	pruned_gr_size	pruned_frequency	pruned_cover	pruned_coverage
TEK16	100	2	2	1.0813414762766858	30	640	36	0.9718	6.5606	8	490	36	0.9718	2.9912
TEK16	100	2	3	0.8766089143273801	5	86	13	0.9444	2.7534	2	62	11	0.9444	1.1176
TEK16	100	2	4	0.9612045994692004	35	830	31	0.9902	6.9094	9	654	16	0.9902	2.098
TEK16	100	2	5	0.8213115291624487	12	238	13	1.0	3.5766	5	174	13	1.0	1.5702
TEK16	100	2	6	0.8351334826315586	37	878	44	0.991	6.6352	9	674	44	0.991	2.735
TEK16	100	2	7	0.7770422430174873	14	324	19	1.0	4.3388	7	250	19	1.0	2.5508
TEK16	100	2	8	0.8014628635099075	42	948	44	0.991	7.5058	8	714	44	0.991	2.691
TEK16	100	2	9	0.7709329853870124	21	528	26	1.0	4.8804	9	398	26	1.0	2.4752
TEK16	100	2	10	0.7852815658217464	47	1146	44	0.991	8.333	8	850	44	0.991	2.9144
TEK16	100	2	12	0.7635499715172122	51	1210	41	0.991	8.4254	9	896	41	0.991	2.817
TEK16	100	4	2	1.0535764108969496	137	5744	175	0.999	23.6754	12	4728	109	0.999	4.8194
TEK16	100	4	3	0.8029241290574867	41	1432	36	1.0	5.3736	16	1176	9	1.0	1.8408
TEK16	100	4	4	0.8247744383074744	171	7396	145	0.999	24.5936	13	5980	145	0.999	4.9432
TEK16	100	4	5	0.7329257774378293	83	3428	15	0.9998	7.1626	14	2644	15	0.9998	1.9692
TEK16	100	4	6	0.7416518715761341	183	7928	281	0.999	25.1624	16	6380	281	0.999	7.554
TEK16	100	4	7	0.7028732653032531	131	5120	25	0.9998	10.8934	17	4032	25	0.9998	2.6402
TEK16	100	4	8	0.7095754250497772	210	9144	281	0.999	26.1074	20	7340	281	0.999	7.63
TEK16	100	4	9	0.689066476678535	160	6860	25	0.9998	11.9372	21	5456	18	0.9998	2.0548
TEK16	100	4	10	0.6916847048411207	237	10680	281	1.0	26.1238	31	8596	281	1.0	7.3798
TEK16	100	4	12	0.6786151300146369	243	11344	281	0.999	26.1456	22	9192	88	0.999	3.5434
TEK16	100	6	2	1.0198243598663623	218	11690	45	0.9994	19.372	18	9412	45	0.9994	3.0478
TEK16	100	6	3	0.7912656056157348	74	4168	30	1.0	7.0382	17	3376	12	1.0	1.8466
TEK16	100	6	4	0.8025305575928601	256	14466	30	1.0	19.974	34	11638	30	1.0	3.017
TEK16	100	6	5	0.7108692360884699	128	7830	17	0.9994	8.9804	21	6402	11	0.9994	2.1652
TEK16	100	6	6	0.7174939070964788	263	16760	30	0.9922	20.1742	28	13740	21	0.9922	2.6682
TEK16	100	6	7	0.6728481664090554	132	10690	9	0.9882	7.3974	23	9050	9	0.9882	1.8488
TEK16	100	6	8	0.6778564502138125	251	19168	30	0.9812	18.8038	28	16144	20	0.9812	1.9926
TEK16	100	6	9	0.6514054802591532	153	13626	9	0.9458	8.2894	29	11738	7	0.9458	1.7142
TEK16	100	6	10	0.6537543668463872	260	20620	29	0.9696	19.1488	31	17654	29	0.9696	2.603
TEK16	100	6	12	0.6396702141404721	254	22168	29	0.892	18.0646	29	19076	29	0.892	2.4302
TEK16	100	8	2	0.9920666516587138	202	17208	48	0.9994	14.4702	19	14408	48	0.9994	3.042
TEK16	100	8	3	0.7832767751887859	114	9388	28	0.999	9.001	20	7680	28	0.999	2.4362
TEK16	100	8	4	0.7805067470682201	236	22856	48	0.998	15.4202	31	19328	8	0.998	2.1168
TEK16	100	8	5	0.7009620425404346	140	15460	12	0.9882	8.4238	24	13316	12	0.9882	1.7698
TEK16	100	8	6	0.7001820197970922	236	26692	48	0.9078	15.2352	28	23160	6	0.9078	1.5462
TEK16	100	8	7	0.6606252850201171	121	18896	16	0.9184	7.1122	27	17008	16	0.9184	1.8718
TEK16	100	8	8	0.6599414973353662	234	29792	48	0.8576	15.103	26	26048	48	0.8576	2.474
TEK16	100	8	9	0.6378823967293707	139	23084	20	0.8612	8.2064	25	20784	8	0.8612	1.5816
TEK16	100	8	10	0.6354902041826551	243	31420	48	0.8122	14.4976	23	27592	48	0.8122	2.3414
TEK16	100	8	12	0.6214627549640568	245	33480	48	0.775	14.3286	23	29584	48	0.775	2.0394
TEK16	100	10	2	0.9734178134942533	64	17306	19	0.9676	5.0824	22	16256	19	0.9676	2.1368
TEK16	100	10	3	0.7735116510705502	103	14758	8	0.917	6.7958	22	12824	8	0.917	1.9402
TEK16	100	10	4	0.7706489263782981	107	24876	8	0.9252	6.231	33	22812	8	0.9252	2.0554
TEK16	100	10	5	0.6860936533507843	102	22926	6	0.8944	6.184	23	20834	6	0.8944	1.5378
TEK16	100	10	6	0.6878370463376973	111	29130	10	0.7848	5.8458	28	26834	5	0.7848	1.419
TEK16	100	10	7	0.6470635842679181	110	27222	6	0.7814	5.7934	23	24846	4	0.7814	1.3782
TEK16	100	10	8	0.6505719359550197	114	32880	6	0.7262	5.5144	26	30556	6	0.7262	1.3414
TEK16	100	10	9	0.6245290444580001	119	30970	5	0.7808	5.913	25	28480	5	0.7808	1.3726
TEK16	100	10	10	0.6265802057712654	118	35068	5	0.717	5.534	29	32806	5	0.717	1.4318
TEK16	100	10	12	0.6107754357167341	116	37724	4	0.724	5.3738	27	35340	4	0.724	1.2642
