1 126032
2 77278
2 60651
2 61988
2 62469
2 59286
2 69869
2 62557
2 63264
2 63387
2 63895
3 62384
3 60726
3 64274
3 66919
3 60401
3 59521
3 62469
3 59827
3 64017
3 51685
4 33703
4 34158
4 34657
4 39922
4 39240
4 67594
4 59972
4 61349
4 62185
4 61291
5 64521
5 62149
5 60112
5 59299
5 60214
5 61818
5 60146
5 58251
5 60451
5 68873
6 65541
6 61136
6 59297
6 60358
6 60225
6 63777
6 60079
6 62790
6 61343
6 60522
7 64235
7 63024
7 64764
7 57808
7 64358
7 59219
7 61892
7 61412
7 63449
7 61287
8 60500
8 58627
8 61196
8 62550
8 62470
8 68212
8 62531
8 60635
8 59783
8 58247
9 61211
9 64248
9 65356
9 60676
9 60787
9 63497
9 61175
9 63109
9 60161
9 66345
10 65095
10 62697
10 60900
10 62514
10 63430
10 58508
10 61797
10 62427
10 61072
10 60514
11 61033
11 62022
11 45835
11 32860
11 32688
11 32727
11 33792
11 35545
11 35733
11 35293
12 35702
12 35701
12 36150
12 34488
12 34564
12 34010
12 34734
12 53782
12 68877
12 72351
13 70664
13 67850
13 67070
13 36471
13 36301
13 36030
13 35489
13 49685
13 60556
13 63872
14 64366
14 64824
14 35136
14 43342
14 57292
14 58776
14 57138
14 54630
14 50544
14 33597
15 33091
15 33995
15 34395
15 33341
15 32804
15 34004
15 34685
15 55522
15 62884
15 66501
